effect,param,ui_value,payload_hex
compressor,threshold,-60.0000,00006b76
compressor,threshold,-59.5000,88888172
compressor,threshold,-59.0000,1111986e
compressor,threshold,-58.5000,0000056c
compressor,threshold,-58.0000,0000ab69
compressor,threshold,-57.5000,5555b466
compressor,threshold,-57.0000,00007f63
compressor,threshold,-56.5000,9999785f
compressor,threshold,-56.0000,6666d55a
compressor,threshold,-55.5000,cccc7e56
compressor,threshold,-55.0000,55558e52
compressor,threshold,-54.5000,bbbbc54e
compressor,threshold,-54.0000,cccc604b
compressor,threshold,-53.5000,cccc0b48
compressor,threshold,-53.0000,66661645
compressor,threshold,-52.5000,00002142
compressor,threshold,-52.0000,cccc8640
compressor,threshold,-51.5000,9999ec3e
compressor,threshold,-51.0000,66669e3c
compressor,threshold,-50.5000,3333323a
compressor,threshold,-50.0000,aaaadd38
compressor,threshold,-49.5000,0000f937
compressor,threshold,-49.0000,99996836
compressor,threshold,-48.5000,66665734
compressor,threshold,-48.0000,33335d32
compressor,threshold,-47.5000,aaaa8130
compressor,threshold,-47.0000,00009c2e
compressor,threshold,-46.5000,00009d2c
compressor,threshold,-46.0000,7777d02a
compressor,threshold,-45.5000,bbbb322a
compressor,threshold,-45.0000,00009529
compressor,threshold,-44.5000,99995527
compressor,threshold,-44.0000,33331625
compressor,threshold,-43.5000,33335324
compressor,threshold,-43.0000,9999cf23
compressor,threshold,-42.5000,ffff5022
compressor,threshold,-42.0000,00006e20
compressor,threshold,-41.5000,1111041f
compressor,threshold,-41.0000,eeeef41d
compressor,threshold,-40.5000,9999ee1c
compressor,threshold,-40.0000,0000f41b
compressor,threshold,-39.5000,4444d91a
compressor,threshold,-39.0000,33336e19
compressor,threshold,-38.5000,99991918
compressor,threshold,-38.0000,cccc4b17
compressor,threshold,-37.5000,00007e16
compressor,threshold,-37.0000,3333be15
compressor,threshold,-36.5000,6666fe14
compressor,threshold,-36.0000,33338614
compressor,threshold,-35.5000,eeee1914
compressor,threshold,-35.0000,55558013
compressor,threshold,-34.5000,9999d412
compressor,threshold,-34.0000,aaaa6512
compressor,threshold,-33.5000,55552412
compressor,threshold,-33.0000,6666d611
compressor,threshold,-32.5000,aaaa7711
compressor,threshold,-32.0000,55550911
compressor,threshold,-31.5000,00007410
compressor,threshold,-31.0000,eeeedf0f
compressor,threshold,-30.5000,7777530f
compressor,threshold,-30.0000,0000c70e
compressor,threshold,-29.5000,3333c80d
compressor,threshold,-29.0000,6666c90c
compressor,threshold,-28.5000,cccc410c
compressor,threshold,-28.0000,1111ce0b
compressor,threshold,-27.5000,aaaa7d0b
compressor,threshold,-27.0000,66663b0b
compressor,threshold,-26.5000,7777060b
compressor,threshold,-26.0000,8888db0a
compressor,threshold,-25.5000,6666a80a
compressor,threshold,-25.0000,55556a0a
compressor,threshold,-24.5000,eeee2c0a
compressor,threshold,-24.0000,3333f109
compressor,threshold,-23.5000,7777b809
compressor,threshold,-23.0000,bbbb9109
compressor,threshold,-22.5000,00006b09
compressor,threshold,-22.0000,88883209
compressor,threshold,-21.5000,1111fa08
compressor,threshold,-21.0000,99998708
compressor,threshold,-20.5000,77770b08
compressor,threshold,-20.0000,55558b07
compressor,threshold,-19.5000,99990907
compressor,threshold,-19.0000,1111a706
compressor,threshold,-18.5000,eeee5b06
compressor,threshold,-18.0000,99991206
compressor,threshold,-17.5000,aaaacb05
compressor,threshold,-17.0000,66668d05
compressor,threshold,-16.5000,cccc6405
compressor,threshold,-16.0000,44443e05
compressor,threshold,-15.5000,22222405
compressor,threshold,-15.0000,00000a05
compressor,threshold,-14.5000,bbbbe304
compressor,threshold,-14.0000,7777bd04
compressor,threshold,-13.5000,6666a204
compressor,threshold,-13.0000,33338904
compressor,threshold,-12.5000,55556804
compressor,threshold,-12.0000,66664404
compressor,threshold,-11.5000,aaaa2704
compressor,threshold,-11.0000,55551004
compressor,threshold,-10.5000,6666e603
compressor,threshold,-10.0000,aaaaa303
compressor,threshold,-9.5000,eeee6403
compressor,threshold,-9.0000,33333003
compressor,threshold,-8.5000,0000fc02
compressor,threshold,-8.0000,0000cb02
compressor,threshold,-7.5000,00009a02
compressor,threshold,-7.0000,55556b02
compressor,threshold,-6.5000,aaaa3c02
